Mapa,Jogador,Time,Agente,R,ACS,K,D,A,+/-,KAST,ADR,HS%,FK,FD,+/-_FK_FD,Time1,Score_T1,Time2,Score_T2,target,Impacto_Ofensivo,Impacto_Suporte,Impacto_Geral
AllMaps,blowz,LEV,Fade,0.85,176.0,23,29,4,-6,55.0,109.0,27.0,4.0,0.0,4.0,C9,26,LEV,12,0,0.534,0.328,0.862
AllMaps,spike,LEV,Viper,0.63,162.0,19,31,6,-12,63.0,108.0,25.0,2.0,7.0,-5.0,C9,26,LEV,12,0,0.476,0.279,0.755
AllMaps,Sato,LEV,Waylay,0.32,71.0,9,30,8,-21,53.0,57.0,24.0,1.0,8.0,-7.0,C9,26,LEV,12,0,0.338,0.27,0.608
AllMaps,Mazino,MIBR,Brimstone,1.13,227.0,79,70,34,9,73.0,150.0,24.0,9.0,8.0,1.0,MIBR,53,FUR,49,0,0.761,0.413,1.173
AllMaps,zekken,MIBR,Yoru,1.09,224.0,77,63,27,14,78.0,136.0,27.0,19.0,12.0,7.0,MIBR,53,FUR,49,0,0.75,0.43,1.179
AllMaps,aspas,MIBR,Raze,0.96,191.0,72,64,10,8,68.0,124.0,24.0,13.0,16.0,-3.0,MIBR,53,FUR,49,0,0.708,0.356,1.064
AllMaps,tex,MIBR,Viper,0.95,192.0,69,67,19,2,73.0,125.0,29.0,10.0,6.0,4.0,MIBR,53,FUR,49,0,0.67,0.406,1.076
AllMaps,Verno,MIBR,Fade,0.93,164.0,57,60,30,-3,80.0,112.0,22.0,5.0,4.0,1.0,MIBR,53,FUR,49,0,0.561,0.403,0.964
AllMaps,koalanoob,FUR,Yoru,1.09,225.0,83,75,22,8,73.0,135.0,25.0,18.0,19.0,-1.0,MIBR,53,FUR,49,1,0.747,0.391,1.138
AllMaps,eeiu,FUR,Fade,1.01,163.0,60,65,24,-5,67.0,109.0,23.0,4.0,6.0,-2.0,MIBR,53,FUR,49,1,0.539,0.364,0.903
AllMaps,artzin,FUR,Brimstone,0.93,172.0,59,66,34,-7,76.0,117.0,29.0,5.0,8.0,-3.0,MIBR,53,FUR,49,1,0.548,0.366,0.914
AllMaps,nerve,FUR,Viper,0.89,162.0,59,72,29,-13,69.0,112.0,20.0,6.0,3.0,3.0,MIBR,53,FUR,49,1,0.523,0.393,0.916
AllMaps,alym,FUR,Waylay,0.83,177.0,63,76,22,-13,66.0,119.0,27.0,13.0,20.0,-7.0,MIBR,53,FUR,49,1,0.538,0.339,0.877
AllMaps,bang,100T,Astra,1.41,218.0,54,36,27,18,88.0,150.0,34.0,3.0,1.0,2.0,100T,38,C9,27,1,0.799,0.485,1.284
AllMaps,vora,100T,Fade,1.08,227.0,48,46,24,2,72.0,146.0,27.0,5.0,7.0,-2.0,100T,38,C9,27,1,0.712,0.38,1.091
AllMaps,Asuna,100T,Kayo,1.07,179.0,39,42,44,-3,88.0,113.0,19.0,0.0,6.0,-6.0,100T,38,C9,27,1,0.549,0.401,0.951
AllMaps,Timotino,100T,Waylay,0.97,219.0,48,50,17,-2,74.0,150.0,24.0,16.0,9.0,7.0,100T,38,C9,27,1,0.635,0.41,1.045
AllMaps,Cryocells,100T,Veto,0.94,191.0,46,47,10,-1,77.0,123.0,18.0,11.0,7.0,4.0,100T,38,C9,27,1,0.606,0.412,1.018
AllMaps,OXY,C9,Chamber,1.22,251.0,62,45,7,17,74.0,163.0,24.0,16.0,9.0,7.0,100T,38,C9,27,0,0.79,0.414,1.205
AllMaps,v1c,C9,Astra,1.11,226.0,52,44,24,8,85.0,147.0,24.0,6.0,5.0,1.0,100T,38,C9,27,0,0.756,0.43,1.186
AllMaps,Xeppaa,C9,Tejo,0.94,201.0,48,49,16,-1,77.0,139.0,26.0,3.0,2.0,1.0,100T,38,C9,27,0,0.633,0.399,1.032
AllMaps,Zellsis,C9,Kayo,0.76,135.0,30,47,37,-17,75.0,83.0,19.0,3.0,7.0,-4.0,100T,38,C9,27,0,0.476,0.346,0.822
AllMaps,penny,C9,Neon,0.52,124.0,29,51,13,-22,66.0,88.0,15.0,2.0,12.0,-10.0,100T,38,C9,27,0,0.427,0.306,0.733
AllMaps,zekken,MIBR,Yoru,1.1,227.0,42,43,20,-1,79.0,150.0,32.0,4.0,8.0,-4.0,MIBR,17,G2,39,0,0.678,0.389,1.067
AllMaps,Verno,MIBR,Sova,1.07,220.0,43,43,11,0,77.0,142.0,33.0,5.0,5.0,0.0,MIBR,17,G2,39,0,0.682,0.404,1.086
AllMaps,Mazino,MIBR,Astra,0.87,197.0,38,45,16,-7,57.0,130.0,27.0,2.0,5.0,-3.0,MIBR,17,G2,39,0,0.545,0.328,0.873
AllMaps,aspas,MIBR,Jett,0.55,151.0,29,49,7,-20,61.0,100.0,28.0,6.0,5.0,1.0,MIBR,17,G2,39,0,0.485,0.309,0.794
AllMaps,tex,MIBR,Viper,0.55,143.0,26,50,11,-24,61.0,101.0,35.0,4.0,12.0,-8.0,MIBR,17,G2,39,0,0.49,0.301,0.791
AllMaps,valyn,G2,Astra,1.54,310.0,65,33,20,32,88.0,198.0,29.0,6.0,1.0,5.0,MIBR,17,G2,39,1,0.86,0.496,1.356
AllMaps,BABYBAY,G2,Yoru,1.17,216.0,43,34,12,9,77.0,139.0,17.0,10.0,5.0,5.0,MIBR,17,G2,39,1,0.742,0.436,1.178
